Gender,Course1,Course1,Course,Strand Code,Strand,,,,,Salary,GWA
Male      ,Bachelor of Arts in Psychology - AB PSYCHOLOGY,NO CHOSEN COURSE,Bachelor of Secondary Education major in English - BSED ENGLISH,HUMSS,Humanities and Social Sciences (HUMSS),,,,,99432,97
Male      ,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Science in Nursing - BSN,Bachelor of Arts in Psychology - AB PSYCHOLOGY,GA,General Academic (GA) ,,,,,60091,77
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Electronics and Communications Engineering - BSECE,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,82097,81
Male      ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Computer Science - BSCS,Bachelor of Science in Information Technology - BSIT,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,95300,97
-         ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Not in the list,HE,Home Economics (HE),,,,,128105,98
Female    ,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Accountancy - BSA,Bachelor of Science in Business Administration major in Marketing - BSBA,ABM,"Accountancy, Business and Management (ABM)",,,,,117990,74
Female    ,Not in the list,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Nursing - BSN,STEM,"Science, Technology, Engineering and Mathematics (STEM)",,,,,117153,73
Female    ,Bachelor of Elementary Education - BEED,Bachelor of Secondary Education major in Filipino - BSED FILIPINO ,Bachelor of Secondary Education major in English - BSED ENGLISH,GA,General Academic (GA) ,,,,,63710,85
Male      ,Bachelor of Science in Electronics and Communications Engineering - BSECE,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Hospitality Management - BSHM,TVLM,TVL Maritime (TVLM),,,,,15616,87
-         ,Bachelor of Science in Hospitality Management - BSHM,Not in the list,Not in the list,HE,Home Economics (HE),,,,,55086,82
Male      ,Bachelor of Science in Entrepreneurship - BSENT,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Hospitality Management - BSHM,ABM,"Accountancy, Business and Management (ABM)",,,,,28676,70
Male      ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Hospitality Management - BSHM,Undecided,HE,Home Economics (HE),,,,,46081,96
Female    ,Bachelor of Science in Hospitality Management - BSHM,NO CHOSEN COURSE,NO CHOSEN COURSE,ABM,"Accountancy, Business and Management (ABM)",,,,,11028,76
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Secondary Education major in English - BSED ENGLISH,Bachelor of Elementary Education - BEED,HUMSS,Humanities and Social Sciences (HUMSS),,,,,30738,85
Female    ,Bachelor of Science in Hospitality Management - BSHM,Bachelor of Science in Business Administration major in Marketing - BSBA,Bachelor of Science in Entrepreneurship - BSENT,ABM,"Accountancy, Business and Management (ABM)",,,,,59266,94
Female    ,Bachelor of Science in Information Technology - BSIT,Bachelor of Science in Computer Science - BSCS,Undecided,ICT,Information and Communications Technology (ICT),,,,,82710,98
